Department,Districts,Monthregister,Fund,Rangeincome,Register
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMEA,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPA,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,BEASISWA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN BENGKAYANG,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPA,KOTA SINGKAWANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN LANDAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SEKADAU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN MELAWI,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMK AKUNTANSI,KABUPATEN MELAWI,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,< 500.000,Y
MA IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,N
MA IPS,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.000.001 - 1.500.000,Y
STM-LISTRIK,KABUPATEN SINTANG,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMK-MEKANIK,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
STM-MESIN,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,< 500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMK BISNIS MANAJEMEN,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,< 500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,August,BEASISWA,< 500.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,BEASISWA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,> 5.000.000,N
SMK INFORMATIKA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,Y
SMK INFORMATIKA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,N
SMA-BAHASA,KABUPATEN BENGKAYANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN BENGKAYANG,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN BENGKAYANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN BENGKAYANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMK Perkantoran,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMK INFORMATIKA,KABUPATEN SEKADAU,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK AKUNTANSI,KABUPATEN MELAWI,August,ORANG TUA,500.001 - 1.000.000,N
SMK AKUNTANSI,KABUPATEN MELAWI,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,N
STM-PEMBANGUNAN,KABUPATEN KUBU RAYA,August,BEASISWA,500.001 - 1.000.000,Y
MA IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK AKUNTANSI,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMK BISNIS MANAJEMEN,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,< 500.000,N
SMKA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,< 500.000,Y
SMKA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMK INFORMATIKA,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPS,KABUPATEN KAPUAS HULU,August,WALI,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMK BISNIS MANAJEMEN,KABUPATEN BENGKAYANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN BENGKAYANG,August,ORANG TUA,500.001 - 1.000.000,N
STM-PEMBANGUNAN,KABUPATEN SEKADAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KABUPATEN MELAWI,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN MELAWI,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,Y
STM-PERIKANAN,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,N
STM-PERIKANAN,KABUPATEN KUBU RAYA,August,ORANG TUA,< 500.000,N
SMK KESJ. MASYARAKAT,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA AGAMA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK PARIWISATA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,500.001 - 1.000.000,Y
SMEA,KOTA SINGKAWANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMK-MEKANIK,KABUPATEN LANDAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
MA IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SEKADAU,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK INFORMATIKA,KABUPATEN MELAWI,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,< 500.000,Y
STM-PEMBANGUNAN,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,N
SMKI/SMIK,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMK BISNIS MANAJEMEN,KOTA PONTIANAK,August,BEASISWA,< 500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
MA IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SPK KEPERAWATAN,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,September,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN MEMPAWAH,September,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,September,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN MELAWI,September,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,September,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KUBU RAYA,September,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,September,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SINTANG,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SINTANG,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN SINTANG,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN LANDAK,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SEKADAU,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN LANDAK,September,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,September,ORANG TUA,1.500.001 - 2.000.000,N
MA AGAMA,KABUPATEN KETAPANG,September,ORANG TUA,< 500.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,1.000.001 - 1.500.000,Y
MA IPA,KABUPATEN KAPUAS HULU,September,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN MELAWI,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,N
MA IPA,KOTA SINGKAWANG,September,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,September,ORANG TUA,< 500.000,Y
MA IPS,KABUPATEN SINTANG,September,ORANG TUA,1.500.001 - 2.000.000,Y
